"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @elonmusk: Forgot to say one thing at Tesla annual shareholders meeting: just as my money was the first in, it will be the last out.",FALSE,0,NA,2014-10-19 23:57:27,FALSE,NA,"523986316061454336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","canice_croucher",1098,TRUE,FALSE,NA,NA
"@John_Gardi @TrampolinRocket @elonmusk So, what does that leave us for names?  Isn't the engine named Raptor?",FALSE,0,"John_Gardi",2014-10-19 23:55:00,FALSE,"523983757897121792","523985700396343296","227343379","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Everman",0,FALSE,FALSE,NA,NA
"@Everman @TrampolinRocket: I had no idea about that either. But you can leave it to @elonmusk to throw a  double entendre onto the pitch! :)",FALSE,0,"Everman",2014-10-19 23:47:17,FALSE,"523978329175511041","523983757897121792","7573192","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","John_Gardi",0,FALSE,FALSE,NA,NA
"@elonmusk @TeslaMotors Next generation batteries with titanium dioxide anodes http://t.co/gEdQJyZ2ao",FALSE,0,"elonmusk",2014-10-19 23:44:31,FALSE,NA,"523983059180605441","44196397","<a href=""http://www.pulse.me"" rel=""nofollow"">Pulse News</a>","reazvawda",0,FALSE,FALSE,NA,NA
"RT @iansomerhalder: vanityfair's photo http://t.co/xSoaonielA @elonmusk you are my fricking HERO. I'm glad to call you a friend. Honored ev…",FALSE,0,NA,2014-10-19 23:42:46,FALSE,NA,"523982621387542528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ConsuGreene",1445,TRUE,FALSE,NA,NA
"@elonmusk #congrats, Mr. Musk! Amazing accomplishment!",FALSE,0,"elonmusk",2014-10-19 23:40:32,FALSE,"523290693612367872","523982057849249792","44196397","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dea619",0,FALSE,FALSE,NA,NA
"RT @andersen: Earlier this summer, I sat down with @elonmusk to talk about the future of space exploration. It was a lot of fun:  http://t.…",FALSE,0,NA,2014-10-19 23:39:04,FALSE,NA,"523981689618722816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stylesisall",3424,TRUE,FALSE,NA,NA
"RT @elonmusk: Infrared video of Falcon rocket reentry captured by @NASA tracking cameras http://t.co/GQLCFLlrUC",FALSE,0,NA,2014-10-19 23:36:47,FALSE,NA,"523981115246129154",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peternimmo",487,TRUE,FALSE,NA,NA
"RT @elonmusk: And, uhh no (zillionth person who asked), I am not going to make an IM suit, however design by hand-manipulated hologram is a…",FALSE,0,NA,2014-10-19 23:29:02,FALSE,NA,"523979162831167492",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jugaxamalumax",672,TRUE,FALSE,NA,NA
"@TrampolinRocket @John_Gardi @elonmusk No kidding?!?  I had no idea!!",FALSE,0,"TrampolinRocket",2014-10-19 23:25:43,FALSE,"523920022339862530","523978329175511041","2470025095","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Everman",0,FALSE,FALSE,NA,NA
"@TrampolinRocket @John_Gardi @Everman @elonmusk No kidding?!?  I had no idea...",FALSE,0,"TrampolinRocket",2014-10-19 23:24:02,FALSE,"523920022339862530","523977907757002752","2470025095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","AuroraTheater",0,FALSE,FALSE,NA,NA
"@atownsendk @elonmusk Gracias,",FALSE,0,"atownsendk",2014-10-19 23:19:46,FALSE,NA,"523976831306059777","738702469","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","larydedilixu",0,FALSE,FALSE,NA,NA
"RT @Jessicalessin: I love @pmarca + @elonmusk as much as the next guy. But will the rest of Silicon Valley please stand up + and speak! htt…",FALSE,0,NA,2014-10-19 23:14:00,FALSE,NA,"523975381775171584",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","iankar_",4,TRUE,FALSE,NA,NA
"I finished watching the @VanityFair interview of @elonmusk - he is captivating and thoughtful yet approachable and engaging. #newera",FALSE,0,NA,2014-10-19 23:10:03,FALSE,NA,"523974385762590720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","teckburg",0,FALSE,FALSE,NA,NA
"RT @elonmusk: Goal is for unsubsidized solar power to cost less than grid electricity from coal or fracked gas",FALSE,0,NA,2014-10-19 23:07:58,FALSE,NA,"523973861725859840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jugemakypyfu",2141,TRUE,FALSE,NA,NA
"@trengriffin huge shift in expectations for those jobs. I think @elonmusk said it best: industry and politics should be deeply intertwined",FALSE,1,"trengriffin",2014-10-19 23:00:40,FALSE,"523948514297282560","523972025308549121","21271771","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrokerChange",0,FALSE,FALSE,NA,NA
"RT @elonmusk: Flight 10 of Falcon 9 was good. All six ORBCOMM satellites deployed on target.",FALSE,0,NA,2014-10-19 23:00:27,FALSE,NA,"523971970098937856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vanubihozufyp",566,TRUE,FALSE,NA,NA
"RT @elonmusk: Rocket booster reentry, landing burn &amp; leg deploy were good, but lost hull integrity right after splashdown (aka kaboom)",FALSE,0,NA,2014-10-19 23:00:07,FALSE,NA,"523971886179299328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vanubihozufyp",936,TRUE,FALSE,NA,NA
"RT @elonmusk: Detailed review of rocket telemetry needed to tell if due to initial splashdown or subsequent tip over and body slam",FALSE,0,NA,2014-10-19 22:59:02,FALSE,NA,"523971615013347328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zitygowymydeco",321,TRUE,FALSE,NA,NA
"RT @elonmusk: Looks like body slam, maybe from a self-generated wave",FALSE,0,NA,2014-10-19 22:58:49,FALSE,NA,"523971561796014082",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","beams_nirvikara",152,TRUE,FALSE,NA,NA
"RT @elonmusk: On annual camping trip w kids. Trying a place just south of Carmel in California this year.",FALSE,0,NA,2014-10-19 22:58:36,FALSE,NA,"523971504757682176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","demukobywyge",117,TRUE,FALSE,NA,NA
"RT @elonmusk: Guardians of the Galaxy is great. Best line is when Star-Lord says his spaceship looks like a Jackson Pollock painting under …",FALSE,0,NA,2014-10-19 22:58:19,FALSE,NA,"523971432456257536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","demukobywyge",1255,TRUE,FALSE,NA,NA
"RT @elonmusk: Giant dog topiary in Bilbao http://t.co/kHdAMvOEMN",FALSE,0,NA,2014-10-19 22:57:56,FALSE,NA,"523971338806255616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","divehipevoloq",269,TRUE,FALSE,NA,NA
"RT @brycejones25: wanna hook us up with a couple teslas for our cross country trip? @elonmusk @TeslaMotors",FALSE,0,NA,2014-10-19 22:56:43,FALSE,NA,"523971031443472384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sophiemichel6",13,TRUE,FALSE,NA,NA
"RT @elonmusk: Infrared video of Falcon rocket reentry captured by @NASA tracking cameras http://t.co/GQLCFLlrUC",FALSE,0,NA,2014-10-19 22:54:42,FALSE,NA,"523970524922515456",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Liz_Hanbury",487,TRUE,FALSE,NA,NA
"RT @brycejones25: wanna hook us up with a couple teslas for our cross country trip? @elonmusk @TeslaMotors",FALSE,0,NA,2014-10-19 22:54:17,FALSE,NA,"523970420987289600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","divz14",13,TRUE,FALSE,NA,NA
"@elonmusk Radiation Shielding for long-distance space travel - Have we considered using water?",FALSE,0,"elonmusk",2014-10-19 22:50:49,FALSE,NA,"523969547125006337","44196397","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","W_A_Scarlet",0,FALSE,FALSE,NA,NA
"RT @brycejones25: wanna hook us up with a couple teslas for our cross country trip? @elonmusk @TeslaMotors",FALSE,0,NA,2014-10-19 22:46:04,FALSE,NA,"523968350133968896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carlyeconnors",13,TRUE,FALSE,NA,NA
"@CollCostello: Look at @elonmusk, who is PLANNING on making us multiplanetary, yet he puts most of his effort in @TeslaMotors &amp; @SolarCity.",FALSE,0,"CollCostello",2014-10-19 22:45:41,FALSE,"523964116386738176","523968253216178176","49165279","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","John_Gardi",0,FALSE,FALSE,NA,NA
"@KrapelsMarco perhaps the mayor et al should give @elonmusk a call and buy a Tesla #cleanair #sustainableenergy #tesla",FALSE,1,"KrapelsMarco",2014-10-19 22:42:42,FALSE,"523916602778345473","523967503496937472","118273546","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JayGeraghty",0,FALSE,FALSE,NA,NA
"@bptheo @pmarca @peterthiel thought provoking conversation w/captivating intellect. (Btw @elonmusk sounds full on badass.",FALSE,2,"bptheo",2014-10-19 22:41:14,FALSE,"523941817855664128","523967133303443456","14823573","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iCommunity_ie",0,FALSE,FALSE,"-6.24904791","53.33160405"
"@taylorpfreeman @elonmusk questions whether we are in a simulation. https://t.co/VPG815GZd1",FALSE,0,"taylorpfreeman",2014-10-19 22:36:53,FALSE,NA,"523966042444681217","160781725","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WBMason",0,FALSE,FALSE,NA,NA
"RT @elonmusk: Handing over the first Tesla Model S cars in Japan http://t.co/58fzUJBjVs",FALSE,0,NA,2014-10-19 22:34:46,FALSE,NA,"523965509172097024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jejyqudapytu",1016,TRUE,FALSE,NA,NA
"RT @ToscaMusk: Recharged and got a coffee. Tx @elonmusk @TeslaMotors 4 the convenient #SuperCharger #Indio w/ @tarynoneill http://t.co/mCzN…",FALSE,0,NA,2014-10-19 22:34:29,FALSE,NA,"523965437978349568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mikegonzalez2k",3,TRUE,FALSE,NA,NA
"RT @elonmusk: Just did crazy Japanese game show called 逆転の法則. I have no idea what happened, but it was awesome http://t.co/oRQlbCH3de",FALSE,0,NA,2014-10-19 22:34:24,FALSE,NA,"523965414389198849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vicevosycoty",1348,TRUE,FALSE,NA,NA
"RT @elonmusk: Official Gigafactory address to be: Electric Avenue, McCarran, Nevada",FALSE,0,NA,2014-10-19 22:34:08,FALSE,NA,"523965350170210305",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vicevosycoty",1798,TRUE,FALSE,NA,NA
"Future Iron Man movie should combine @TeslaMotors @SpaceX @elonmusk http://t.co/8Hae0sdlTK",FALSE,2,NA,2014-10-19 22:23:42,FALSE,NA,"523962721901891584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akifmalik",0,FALSE,FALSE,NA,NA
"World without the likes of @pmarca @peterthiel @elonmusk #Ellison would have been entirely different",FALSE,1,NA,2014-10-19 22:22:50,FALSE,NA,"523962504787935233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uditmo2006",0,FALSE,FALSE,NA,NA
"RT @brycejones25: wanna hook us up with a couple teslas for our cross country trip? @elonmusk @TeslaMotors",FALSE,0,NA,2014-10-19 22:21:51,FALSE,NA,"523962258465230849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CaitlinnCasto",13,TRUE,FALSE,NA,NA
"If you're working @TeslaMotors, you are choosing to step up your game. via @elonmusk",FALSE,0,NA,2014-10-19 22:20:19,FALSE,NA,"523961871058362368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rvsuvarna",0,FALSE,FALSE,NA,NA
"RT @JamesDeanStocks: @FastCoExist @Motopeds @MotoVox @elonmusk @richardbranson #SmallBiz #startup #investInOTC #ReverseMerger $MTVX http://…",FALSE,0,NA,2014-10-19 22:19:22,FALSE,NA,"523961632381497344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BadBoySwingin",1,TRUE,FALSE,NA,NA
"RT @elonmusk: Kinda trippy seeing myself on @SouthPark. I've watched the show ever since the J vs SC short. Brian Boitano!",FALSE,0,NA,2014-10-19 22:18:11,FALSE,NA,"523961333172436992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","filadog7",1312,TRUE,FALSE,NA,NA
"RT @elonmusk: Michigan auto dealers trying to pass anti-consumer legislation http://t.co/qEr5oz3CyE",FALSE,0,NA,2014-10-19 22:16:40,FALSE,NA,"523960952262516736",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","amima",656,TRUE,FALSE,NA,NA
"RT @brycejones25: wanna hook us up with a couple teslas for our cross country trip? @elonmusk @TeslaMotors",FALSE,0,NA,2014-10-19 22:12:39,FALSE,NA,"523959942592876545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kevinsell24",13,TRUE,FALSE,NA,NA
"RT @elonmusk: Kinda trippy seeing myself on @SouthPark. I've watched the show ever since the J vs SC short. Brian Boitano!",FALSE,0,NA,2014-10-19 22:11:52,FALSE,NA,"523959746072969217",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","amima",1312,TRUE,FALSE,NA,NA
"RT @brycejones25: wanna hook us up with a couple teslas for our cross country trip? @elonmusk @TeslaMotors",FALSE,0,NA,2014-10-19 22:08:28,FALSE,NA,"523958887700234240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sell_cj",13,TRUE,FALSE,NA,NA
"RT @valleyhack: It only took @elonmusk 10 minutes to reveal a self-driving car that goes 0-60 in 3 seconds, and Apple needs 80 min for a th…",FALSE,0,NA,2014-10-19 22:03:40,FALSE,NA,"523957682005241856",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","svcrowdfundnews",201,TRUE,FALSE,NA,NA
"Is @PayPal accidentally back to calling itself ""http://t.co/o8koD6ANhv""? @elonmusk @mlevchin @peterthiel @KenHowery http://t.co/I3akrgJEzj",FALSE,0,NA,2014-10-19 21:53:35,FALSE,NA,"523955143738286081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ViableBen",0,FALSE,FALSE,NA,NA
"RT @KAlHomoud: @TeslaMotors The status of planned superchagers in Canada for this year is a shame!
Winter is here and key highways have 0 S…",FALSE,0,NA,2014-10-19 21:51:08,FALSE,NA,"523954528895664128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FTrepanier",3,TRUE,FALSE,NA,NA
"RT @brycejones25: wanna hook us up with a couple teslas for our cross country trip? @elonmusk @TeslaMotors",FALSE,0,NA,2014-10-19 21:50:37,FALSE,NA,"523954398356340736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aaronnthompsonn",13,TRUE,FALSE,NA,NA
"I nominate @AlikoDangote and @elonmusk to pay for my tuition",FALSE,0,NA,2014-10-19 21:45:21,FALSE,NA,"523953071228207104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KING_Ahanna",0,FALSE,FALSE,NA,NA
"RT @elonmusk: Infrared video of Falcon rocket reentry captured by @NASA tracking cameras http://t.co/GQLCFLlrUC",FALSE,0,NA,2014-10-19 21:38:57,FALSE,NA,"523951461424979968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","capnfalco",487,TRUE,FALSE,NA,NA
"Starting a company is like eating glass and staring into the abyss.' "" -- @elonmusk  src https://t.co/ZZDK8iCI9C #QOTD",FALSE,0,NA,2014-10-19 21:38:19,FALSE,NA,"523951301986504705",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shashank_singh",0,FALSE,FALSE,NA,NA
"RT @KAlHomoud: @TeslaMotors The status of planned superchagers in Canada for this year is a shame!
Winter is here and key highways have 0 S…",FALSE,0,NA,2014-10-19 21:32:12,FALSE,NA,"523949763558146049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ssylvester",3,TRUE,FALSE,NA,NA
"The Mind Behind @Tesla, @SpaceX and @SolarCity - @ideas #ideapod @elonmusk https://t.co/AgxwYreyyn",FALSE,0,NA,2014-10-19 21:30:45,FALSE,NA,"523949396757475328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Timothy_Sparks",1,FALSE,FALSE,NA,NA
"RT @elonmusk: The graph that really matters http://t.co/FF2AQ0hg15 http://t.co/0Xk2arTzvW",FALSE,0,NA,2014-10-19 21:29:14,FALSE,NA,"523949015864733696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMZ07FB",1423,TRUE,FALSE,NA,NA
"RT @elonmusk: Orbit insertion and Dragon deploy all good. Falcon reentry burn also good. Waiting for landing data from tracking plane.",FALSE,0,NA,2014-10-19 21:28:43,FALSE,NA,"523948884553256960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BhartrihariC",575,TRUE,FALSE,NA,NA
"RT @elonmusk: Last known state for rocket boost stage is 360 m/s, Mach 1.1, 8.5 km altitude and roll rate close to zero (v important!)",FALSE,0,NA,2014-10-19 21:28:29,FALSE,NA,"523948827032948736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GanendraJanczyk",464,TRUE,FALSE,NA,NA
"RT @elonmusk: Data upload from tracking plane shows landing in Atlantic was good! Several boats enroute through heavy seas.",FALSE,0,NA,2014-10-19 21:28:13,FALSE,NA,"523948758879309824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ManganGilligan",1079,TRUE,FALSE,NA,NA
"RT @elonmusk: Flight computers continued transmitting for 8 seconds after reaching the water. Stopped when booster went horizontal.",FALSE,0,NA,2014-10-19 21:27:54,FALSE,NA,"523948681288904704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ManganGilligan",583,TRUE,FALSE,NA,NA
"RT @WitkitInc: ‘Fuck Earth!’ Elon Musk says, ‘Who cares about Earth?’ http://t.co/VpGUgncLvu @elonmusk @aeonmag #Mars #spacex #NASA",FALSE,0,NA,2014-10-19 21:27:03,FALSE,NA,"523948464296566784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","seanmerat",1,TRUE,FALSE,NA,NA
